"field_0";"date";"open";"high";"low";"close";"volume";"market_cap";"unit_volume";"rolling20_d";"date_2";"bitfinex_shorts";"bitfinex_longs";"bitfinex_volume";"total__crypto__cap";"bitcoin_dominance"
266;1983;6452.79;6585.91;6397.89;6495.0;4437300000;112000000000.0;683.187;645.692;"1983";28705.5;26238.2;18261.0;214000000000.0;52.41
265;1982;6495.29;6712.1;6464.95;6676.75;4606810000;115000000000.0;689.978;647.219;"1982";30170.8;27634.1;8514.0;223000000000.0;51.75
264;1981;6678.75;6785.03;6598.32;6644.13;5014430000;115000000000.0;754.716;654.156;"1981";28816.3;29730.7;17767.0;221000000000.0;52.06
263;1980;6643.1;6643.1;6511.65;6601.96;4363690000;114000000000.0;660.969;658.066;"1980";30337.8;26952.4;20238.0;222000000000.0;51.36
262;1979;6604.71;6643.78;6566.54;6625.56;4002280000;115000000000.0;604.067;658.931;"1979";30164.7;27598.4;18368.0;223000000000.0;51.33
261;2007;6619.85;6653.3;6549.08;6589.62;4000970000;114000000000.0;607.162;658.836;"2007";30986.5;27193.1;27893.0;222000000000.0;51.31
260;2006;6593.24;6611.84;6537.9;6556.1;3979260000;113000000000.0;606.955;657.191;"2006";31556.2;27213.8;17306.0;219000000000.0;51.86
259;2005;6553.86;6571.46;6454.03;6502.59;3887310000;113000000000.0;597.81;654.776;"2005";32089.0;26720.2;8494.0;216000000000.0;52.04
258;2004;6497.91;6603.31;6497.91;6576.69;3838410000;114000000000.0;583.639;652.664;"2004";30913.7;26582.9;10358.0;218000000000.0;52.12
257;2003;6574.15;6623.62;6557.41;6622.48;3671500000;115000000000.0;554.4;655.806;"2003";31017.2;27239.5;12037.0;220000000000.0;52.01
256;2002;6622.45;6628.54;6577.8;6588.31;3259740000;114000000000.0;494.776;655.429;"2002";30901.2;26070.3;14574.0;218000000000.0;52.41
255;2001;6590.68;6641.49;6557.04;6602.95;3306630000;114000000000.0;500.781;649.337;"2001";31273.6;25809.2;11472.0;218000000000.0;52.34
254;2000;6600.19;6675.06;6576.04;6652.23;3979460000;115000000000.0;598.214;646.444;"2000";32522.9;29098.9;12448.0;221000000000.0;52.08
253;1999;6653.08;6661.41;6606.94;6642.64;3580810000;115000000000.0;539.064;638.769;"1999";32392.5;28406.3;5806.0;220000000000.0;52.31
252;1998;6640.29;6640.29;6538.96;6585.53;3787650000;114000000000.0;575.147;634.181;"1998";32943.7;27537.4;5816.0;218000000000.0;52.4
251;1997;6586.74;6586.74;6243.74;6256.24;5181640000;108000000000.0;828.235;627.1;"1997";35383.4;25301.1;12699.0;197000000000.0;54.95
250;1996;6239.25;6328.5;6236.47;6274.58;3783500000;109000000000.0;602.989;623.705;"1996";34981.3;25105.1;8062.0;201000000000.0;54.07
249;1995;6278.08;6308.51;6259.81;6285.99;3064030000;109000000000.0;487.438;616.802;"1995";35148.0;25433.6;13831.0;202000000000.0;53.92
248;1994;6288.49;6363.21;6280.15;6290.93;3085320000;109000000000.0;490.439;609.655;"1994";37496.6;25351.1;41614.0;200000000000.0;54.45
247;1993;6292.64;6965.06;6258.68;6596.54;7370770000;114000000000.0;1117.37;628.867;"1993";32860.2;21414.8;10405.0;211000000000.0;54.07
246;1992;6601.41;6673.59;6571.37;6596.11;4074800000;114000000000.0;617.758;625.595;"1992";34303.7;22075.8;5818.0;212000000000.0;53.83
245;1991;6590.52;6601.21;6517.45;6544.43;4088420000;113000000000.0;624.718;622.332;"1991";35023.0;21937.5;85004.0;211000000000.0;53.69
