Date,BTC_Float
20170515,16332562.5
20170516,16334212.5
20170517,16336150
20170518,16337925
20170519,16339975
20170520,16342037.5
20170521,16343875
20170522,16345700
20170523,16347800
20170524,16349725
20170525,16351762.5
20170526,16353675
20170527,16355775
20170528,16357837.5
20170529,16359725
20170530,16361962.5
20170531,16364012.5
20170601,16366137.5
20170602,16367962.5
20170603,16370362.5
20170604,16372375
20170605,16374425
20170606,16376312.5
20170607,16378375
20170608,16380437.5
20170609,16382325
20170610,16384087.5
20170611,16385912.5
20170612,16387750
20170613,16389512.5
20170614,16391262.5
20170615,16393175
20170616,16395025
20170617,16396837.5
20170618,16398650
20170619,16400537.5
20170620,16402262.5
20170621,16404012.5
20170622,16405750
20170623,16407750
20170624,16409575
20170625,16411100
20170626,16412875
20170627,16414512.5
20170628,16416475
20170629,16417975
20170630,16419900
20170701,16421950
20170702,16424300
20170703,16426425
20170704,16428337.5
20170705,16430200
20170706,16431975
20170707,16433825
20170708,16435887.5
20170709,16437612.5
20170710,16440075
20170711,16442237.5
20170712,16444450
20170713,16446412.5
20170714,16448150
20170715,16449737.5
20170716,16451775
20170717,16453625
20170718,16455687.5
20170719,16457550
20170720,16459575
20170721,16461500
20170722,16463500
20170723,16465650
20170724,16467875
20170725,16469725
20170726,16471562.5
20170727,16473487.5
20170728,16475362.5
20170729,16477325
20170730,16479162.5
20170731,16480975
20170801,16482837.5
20170802,16484737.5
20170803,16486462.5
20170804,16488700
20170805,16490912.5
20170806,16492662.5
20170807,16494575
20170808,16496625
20170809,16498350
20170810,16500025
20170811,16501825
20170812,16503512.5
20170813,16505362.5
20170814,16506987.5
20170815,16508887.5
20170816,16510512.5
20170817,16512750
20170818,16514612.5
20170819,16516500
20170820,16518125
20170821,16519562.5
20170822,16520675
20170823,16522662.5
20170824,16523925
20170825,16525187.5
20170826,16526500
20170827,16528437.5
20170828,16530050
20170829,16531912.5
20170830,16534012.5
20170831,16536050
20170901,16538225
20170902,16540275
20170903,16542200
20170904,16544387.5
20170905,16546850
20170906,16548875
20170907,16551075
20170908,16553262.5
20170909,16555375
20170910,16557100
20170911,16559275
20170912,16561625
20170913,16564000
20170914,16566175
20170915,16568425
20170916,16570537.5
20170917,16572737.5
20170918,16574325
20170919,16576275
20170920,16577737.5
20170921,16579937.5
20170922,16581675
20170923,16583750
20170924,16585562.5
20170925,16587125
20170926,16588850
20170927,16590687.5
20170928,16592900
20170929,16595012.5
20170930,16596737.5
20171001,16598362.5
20171002,16600237.5
20171003,16602525
20171004,16604200
20171005,16605762.5
20171006,16607750
20171007,16609725
20171008,16612000
20171009,16614012.5
20171010,16616012.5
20171011,16617750
20171012,16619662.5
20171013,16621362.5
20171014,16623125
20171015,16625562.5
20171016,16627737.5
20171017,16629787.5
20171018,16631675
20171019,16633900
20171020,16636137.5
20171021,16638050
20171022,16640325
20171023,16642462.5
20171024,16644550
