,Date,Open,High,Low,Close,Volume,MarketCap,UnitVolume,Rolling20D
1095,20160516,457.59,458.20,452.95,454.16,59171500,7063120268,130.28778404086665,
1094,20160517,454.01,455.07,453.61,453.78,64100300,7058821457,141.25853938031645,
1093,20160518,453.69,456.00,453.30,454.62,86850096,7073564772,191.03888082354493,
1092,20160519,454.52,454.63,438.71,438.71,96027400,6827425412,218.8858243486586,
1091,20160520,437.79,444.05,437.39,442.68,81987904,6890716750,185.20805999819282,
1090,20160521,442.97,443.78,441.71,443.19,42762300,6900237725,96.48751099979692,
1089,20160522,443.22,443.43,439.04,439.32,39657600,6842082300,90.27041791860148,
1088,20160523,439.35,444.35,438.82,444.15,50582500,6919346395,113.8860745243724,
1087,20160524,444.29,447.10,443.93,445.98,65783100,6949432035,147.50235436566663,
1086,20160525,446.06,450.30,446.06,449.6,65231000,7007360094,145.086743772242,
1085,20160526,449.67,453.64,447.90,453.38,65203800,7067871184,143.81710706250826,
1084,20160527,453.52,478.15,453.52,473.46,164780992,7382558440,348.03572001858663,
1083,20160528,473.03,533.47,472.70,530.04,181199008,8266477338,341.8591200664101,
1082,20160529,527.48,553.96,512.18,526.23,148736992,8209050618,282.64635615605346,
1081,20160530,528.47,544.35,522.96,533.86,87958704,8330000111,164.7598696287416,
1080,20160531,534.19,546.62,520.66,531.39,138450000,8293035755,260.543103934963,
1079,20160601,531.11,543.08,525.64,536.92,86061800,8381321200,160.28793861282873,
1078,20160602,536.52,540.35,533.08,537.97,60378200,8399598923,112.2333959142703,
1077,20160603,537.68,574.64,536.92,569.19,122020000,8889102698,214.37481333122506,
1076,20160604,569.71,590.13,564.24,572.73,94925296,8945981422,165.74179107083617,182.71057029843413
1075,20160605,573.31,582.81,569.18,574.98,68874096,8983555643,119.78520296358134,182.1854412445699
1074,20160606,574.60,586.47,574.60,585.54,72138896,9151021089,123.20062847969398,181.28254569953876
1073,20160607,585.45,590.26,567.51,576.6,107770000,9013335474,186.9060006937218,181.07590169304763
1072,20160608,577.17,582.84,573.13,581.65,80265800,9094354021,137.99673343075733,177.0314471471526
1071,20160609,582.20,582.20,570.95,574.63,71301000,8987040811,124.08158293162558,173.97512329382423
1070,20160610,575.84,579.13,573.33,577.47,66991900,9033522014,116.0093165012901,174.95121356889888
1069,20160611,578.67,607.12,578.67,606.73,82357000,9493578714,135.73912613518368,177.224648979728
1068,20160612,609.68,684.84,607.04,672.78,277084992,10529624647,411.850816017123,192.12288605436552
1067,20160613,671.65,716.00,664.49,704.38,243295008,11026918233,345.4030608478378,202.01792137847409
1066,20160614,704.50,704.50,662.80,685.56,186694000,10734585656,272.32335608845324,208.37975199428465
1065,20160615,685.68,696.30,672.56,694.47,99223800,10876756116,142.87701412588018,208.33274734745322
