,Date,Open,High,Low,Close,Volume,MarketCap,UnitVolume,Rolling20D
366,"May 10, 2018",9325.96,9396.04,9040.52,9043.94,6906699776,153988453198,763.6826179740245,
365,"May 11, 2018",9052.96,9052.96,8394.46,8441.49,8488520192,143743802092,1005.5713140689618,
364,"May 12, 2018",8441.44,8664.86,8223.50,8504.89,6821380096,144841040789,802.0538885276588,
363,"May 13, 2018",8515.49,8773.55,8395.12,8723.94,5866379776,148587777457,672.4461397029323,
362,"May 14, 2018",8713.10,8881.12,8367.97,8716.79,7364149760,148480275422,844.8235829932808,
361,"May 15, 2018",8705.19,8836.19,8456.45,8510.38,6705710080,144979744412,787.9448485261529,
360,"May 16, 2018",8504.41,8508.43,8175.49,8368.83,6760220160,142587497878,807.7855757614864,
359,"May 17, 2018",8370.05,8445.54,8054.12,8094.32,5862530048,137923772714,724.2770298184406,
358,"May 18, 2018",8091.83,8274.12,7974.82,8250.97,5764190208,140607667610,698.6075828660146,
357,"May 19, 2018",8255.73,8372.06,8183.35,8247.18,4712399872,140559162894,571.3952977866373,
356,"May 20, 2018",8246.99,8562.41,8205.24,8513.25,5191059968,145109512565,609.7624253957067,
355,"May 21, 2018",8522.33,8557.52,8365.12,8418.99,5154990080,143518943480,612.3050484678091,
354,"May 22, 2018",8419.87,8423.25,8004.58,8041.78,5137010176,137104106176,638.7901902315159,
353,"May 23, 2018",8037.08,8054.66,7507.88,7557.82,6491120128,128868479514,858.8614346464987,
352,"May 24, 2018",7561.12,7738.60,7331.14,7587.34,6049220096,129385391552,797.2781101150074,
351,"May 25, 2018",7592.30,7659.14,7392.65,7480.14,4867829760,127573690458,650.7671995443935,
350,"May 26, 2018",7486.48,7595.16,7349.12,7355.88,4051539968,125469061263,550.7892961821019,
349,"May 27, 2018",7362.08,7381.74,7270.96,7368.22,4056519936,125695017596,550.542727551566,
348,"May 28, 2018",7371.31,7419.05,7100.89,7135.99,5040600064,121747389422,706.3631064505415,
347,"May 29, 2018",7129.46,7526.42,7090.68,7472.59,5662660096,127502651064,757.7908189797647,720.5919117795248
346,"May 30, 2018",7469.73,7573.77,7313.60,7406.52,4922540032,126391893474,664.6225260986265,715.638907185755
345,"May 31, 2018",7406.15,7608.90,7361.13,7494.17,5127130112,127902999390,684.149160213873,699.5677994930004
344,"Jun 01, 2018",7500.70,7604.73,7407.34,7541.45,4921460224,128725854692,652.5880598558633,692.0945080594107
343,"Jun 02, 2018",7536.72,7695.83,7497.26,7643.45,4939299840,130481526036,646.2134036331761,690.7828712559228
342,"Jun 03, 2018",7632.09,7754.89,7613.04,7720.25,4851760128,131808021256,628.4459865936984,679.9639914359439
341,"Jun 04, 2018",7722.53,7753.82,7474.04,7514.47,4993169920,128312205314,664.4739975008217,673.7904488846773
340,"Jun 05, 2018",7500.90,7643.23,7397.00,7633.76,4961739776,130365918088,649.9732472595417,665.89983245958
339,"Jun 06, 2018",7625.97,7680.43,7502.01,7653.98,4692259840,130725095161,613.0483539282831,660.3383986650722
338,"Jun 07, 2018",7650.82,7741.27,7650.82,7678.24,4485799936,131153169176,584.2224176373753,654.6191404036401
337,"Jun 08, 2018",7685.14,7698.19,7558.40,7624.92,4227579904,130256218613,554.4425258232218,653.7715018054694
336,"Jun 09, 2018",7632.52,7683.58,7531.98,7531.98,3845220096,128682085689,510.51915910557386,648.8093384909628
335,"Jun 10, 2018",7499.55,7499.55,6709.07,6786.02,5804839936,115948312827,855.41155728984,660.9646639320642
334,"Jun 11, 2018",6799.29,6910.18,6706.63,6906.92,4745269760,118025877189,687.031232445142,663.3767160427457
333,"Jun 12, 2018",6905.82,6907.96,6542.08,6582.36,4654380032,112491874164,707.0989784818819,655.7885932345148
332,"Jun 13, 2018",6596.88,6631.66,6285.63,6349.9,5052349952,108530585830,795.6581917825479,655.7075973178919
331,"Jun 14, 2018",6342.75,6707.14,6334.46,6675.35,5138710016,114106009748,769.8038329076378,661.659428986054
330,"Jun 15, 2018",6674.08,6681.08,6433.87,6456.58,3955389952,110378702283,612.6137912021534,664.7506537370566
329,"Jun 16, 2018",6455.45,6592.49,6402.29,6550.16,3194170112,111992015616,487.6476470803767,661.6058997134971
328,"Jun 17, 2018",6545.53,6589.11,6499.27,6499.27,3104019968,111134754810,477.5951711499906,650.1675029484696
327,"Jun 18, 2018",6510.07,6781.14,6446.68,6734.82,4039200000,115176197712,599.7487683412475,642.2654004165437
326,"Jun 19, 2018",6742.39,6822.50,6709.92,6769.94,4057029888,115789919278,599.2711734520543,638.9978327842151
325,"Jun 20, 2018",6770.76,6821.56,6611.88,6776.55,3888640000,115916357344,573.8377197836658,633.4822607627048
324,"Jun 21, 2018",6780.09,6810.94,6715.17,6729.74,3529129984,115129700024,524.4080728230215,627.0732614110627
323,"Jun 22, 2018",6737.88,6747.08,6006.60,6083.69,5079810048,104088814967,834.9883126852288,636.5120068636654
322,"Jun 23, 2018",6090.10,6224.82,6071.81,6162.48,3431360000,105449276520,556.8147888512417,632.9304469765425
321,"Jun 24, 2018",6164.28,6223.78,5826.41,6173.23,4566909952,105646571668,739.7926129433052,636.6963777486667
320,"Jun 25, 2018",6171.97,6327.37,6119.68,6249.18,5500810240,106958465208,880.2451265606047,648.2099717137198
319,"Jun 26, 2018",6253.55,6290.16,6093.67,6093.67,3279759872,104307939200,538.2240705519006,644.4687575449007
318,"Jun 27, 2018",6084.40,6180.00,6052.85,6157.13,3296219904,105403600614,535.3500582251795,642.025139574291
317,"Jun 28, 2018",6153.16,6170.41,5873.05,5903.44,3467800064,101072353482,587.4202268507853,643.6740246256691
316,"Jun 29, 2018",5898.13,6261.66,5835.75,6218.3,3966230016,106474707240,637.8318858852098,650.0396609646508
315,"Jun 30, 2018",6214.22,6465.51,6214.22,6404.0,4543860224,109665618200,709.5347008119925,642.7458181407585
314,"Jul 01, 2018",6411.68,6432.85,6289.29,6385.82,4788259840,109366024632,749.826935303532,645.8856032836779
